Wieswurst,short,pork
Spagetti,medium,beef
Pork Chops,short,pork
Shake n Bake Chicken,medium,chicken
Whole Chicken,long,chicken
Chicken Burritos,short,chicken
Beef Burritos,short,beef
Tacos,short,beef
Quesadillas,long,chicken
Perogies,long,pork
Perogie Children,medium,pork
Indian Food,long,chicken
Fish,short,seafood
Fish and chips,short,seafood
Shrimpy Noodles,medium,seafood
Shrimp Skewers,long,seafood
Chow Mein,medium,chicken
Homemade Pizza,medium,pork
Goulash,long,beef
Stew,long,beef
Stir Fry,medium,pork
Fried Rice,medium,chicken
Lasagne,long,beef
Steak,medium,beef
Roast Beef,long,beef
Chicken Wraps,medium,chicken
Butter Chicken Noodles,medium,chicken
Mummy Surprise,medium,chicken
Meatloaf,long,beef
Hamburgers,short,beef
Ribs,medium,pork
